2	 1:1	 2:21	 3:1.62	 4:64	 5:2	 6:1	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:0	 14:1	 15:4	 16:4
2	 1:1	 2:21	 3:1.52	 4:56	 5:2	 6:1	 7:3	 8:3	 9:3	 10:2	 11:3	 12:2	 13:3	 14:0	 15:3	 16:4
2	 1:2	 2:23	 3:1.8	 4:77	 5:2	 6:1	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:2	 14:1	 15:2	 16:4
1	 1:2	 2:27	 3:1.8	 4:87	 5:1	 6:1	 7:3	 8:3	 9:3	 10:1	 11:2	 12:1	 13:2	 14:0	 15:2	 16:5
1	 1:2	 2:22	 3:1.78	 4:89.8	 5:1	 6:1	 7:2	 8:1	 9:3	 10:1	 11:2	 12:1	 13:0	 14:0	 15:3	 16:4
2	 1:2	 2:29	 3:1.62	 4:53	 5:1	 6:2	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:0	 14:0	 15:3	 16:1
2	 1:1	 2:23	 3:1.5	 4:55	 5:2	 6:2	 7:3	 8:3	 9:3	 10:1	 11:2	 12:1	 13:1	 14:0	 15:3	 16:3
2	 1:2	 2:22	 3:1.64	 4:53	 5:1	 6:1	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:3	 14:0	 15:3	 16:4
2	 1:2	 2:24	 3:1.78	 4:64	 5:2	 6:2	 7:3	 8:3	 9:3	 10:1	 11:2	 12:1	 13:1	 14:1	 15:2	 16:4
2	 1:2	 2:22	 3:1.72	 4:68	 5:2	 6:2	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:1	 14:1	 15:4	 16:4
1	 1:2	 2:26	 3:1.85	 4:105	 5:2	 6:2	 7:3	 8:3	 9:2	 10:1	 11:3	 12:1	 13:2	 14:2	 15:3	 16:4
1	 1:1	 2:21	 3:1.72	 4:80	 5:2	 6:2	 7:2	 8:3	 9:2	 10:1	 11:2	 12:2	 13:2	 14:1	 15:3	 16:4
2	 1:2	 2:22	 3:1.65	 4:56	 5:1	 6:1	 7:3	 8:3	 9:3	 10:1	 11:3	 12:1	 13:2	 14:0	 15:3	 16:4
1	 1:2	 2:41	 3:1.8	 4:99	 5:1	 6:2	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:2	 14:1	 15:2	 16:1
2	 1:2	 2:23	 3:1.77	 4:60	 5:2	 6:2	 7:3	 8:1	 9:3	 10:1	 11:1	 12:1	 13:1	 14:1	 15:3	 16:4
2	 1:1	 2:22	 3:1.7	 4:66	 5:2	 6:1	 7:3	 8:3	 9:1	 10:1	 11:2	 12:2	 13:2	 14:1	 15:3	 16:4
1	 1:2	 2:27	 3:1.93	 4:102	 5:2	 6:2	 7:2	 8:1	 9:3	 10:1	 11:1	 12:1	 13:1	 14:0	 15:3	 16:4
1	 1:1	 2:29	 3:1.53	 4:78	 5:1	 6:2	 7:2	 8:1	 9:3	 10:1	 11:2	 12:1	 13:0	 14:0	 15:4	 16:1
1	 1:1	 2:30	 3:1.71	 4:82	 5:2	 6:2	 7:3	 8:4	 9:2	 10:2	 11:1	 12:1	 13:0	 14:0	 15:4	 16:1
1	 1:1	 2:23	 3:1.65	 4:70	 5:2	 6:1	 7:2	 8:1	 9:3	 10:1	 11:2	 12:1	 13:0	 14:0	 15:3	 16:4
1	 1:2	 2:22	 3:1.65	 4:80	 5:2	 6:1	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:3	 14:2	 15:4	 16:5
1	 1:1	 2:52	 3:1.69	 4:87	 5:2	 6:2	 7:3	 8:1	 9:3	 10:2	 11:2	 12:1	 13:0	 14:0	 15:4	 16:1
2	 1:1	 2:22	 3:1.65	 4:60	 5:2	 6:2	 7:3	 8:3	 9:3	 10:1	 11:2	 12:1	 13:1	 14:0	 15:3	 16:1
1	 1:1	 2:22	 3:1.6	 4:82	 5:2	 6:2	 7:1	 8:1	 9:3	 10:1	 11:2	 12:1	 13:0	 14:2	 15:3	 16:4
2	 1:2	 2:21	 3:1.85	 4:68	 5:2	 6:2	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:0	 14:1	 15:3	 16:4
2	 1:2	 2:20	 3:1.6	 4:50	 5:2	 6:1	 7:2	 8:4	 9:2	 10:2	 11:2	 12:1	 13:3	 14:2	 15:4	 16:4
2	 1:2	 2:21	 3:1.7	 4:65	 5:2	 6:2	 7:2	 8:1	 9:2	 10:1	 11:2	 12:1	 13:1	 14:2	 15:1	 16:5
2	 1:1	 2:23	 3:1.6	 4:52	 5:1	 6:2	 7:2	 8:4	 9:2	 10:1	 11:2	 12:1	 13:2	 14:1	 15:3	 16:1
2	 1:2	 2:19	 3:1.75	 4:76	 5:2	 6:2	 7:3	 8:3	 9:3	 10:1	 11:2	 12:2	 13:3	 14:1	 15:3	 16:4
2	 1:2	 2:23	 3:1.68	 4:70	 5:1	 6:2	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:2	 14:2	 15:2	 16:5
1	 1:2	 2:29	 3:1.77	 4:83	 5:1	 6:2	 7:1	 8:4	 9:2	 10:1	 11:3	 12:1	 13:0	 14:1	 15:4	 16:3
1	 1:1	 2:31	 3:1.58	 4:68	 5:2	 6:1	 7:2	 8:1	 9:3	 10:1	 11:1	 12:1	 13:1	 14:0	 15:3	 16:4
2	 1:1	 2:24	 3:1.77	 4:76	 5:1	 6:1	 7:2	 8:3	 9:3	 10:1	 11:3	 12:1	 13:1	 14:1	 15:3	 16:5
1	 1:2	 2:39	 3:1.79	 4:90	 5:1	 6:1	 7:2	 8:1	 9:3	 10:1	 11:2	 12:1	 13:0	 14:0	 15:3	 16:4
2	 1:2	 2:22	 3:1.65	 4:62	 5:1	 6:2	 7:2	 8:4	 9:2	 10:1	 11:2	 12:1	 13:2	 14:0	 15:3	 16:4
1	 1:1	 2:21	 3:1.5	 4:65	 5:2	 6:1	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:2	 14:2	 15:3	 16:4
2	 1:1	 2:22	 3:1.56	 4:49	 5:1	 6:2	 7:2	 8:3	 9:3	 10:1	 11:1	 12:2	 13:2	 14:0	 15:4	 16:5
2	 1:1	 2:21	 3:1.6	 4:48	 5:1	 6:2	 7:2	 8:3	 9:3	 10:1	 11:1	 12:1	 13:1	 14:0	 15:3	 16:4
2	 1:2	 2:23	 3:1.65	 4:67	 5:2	 6:2	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:1	 14:1	 15:3	 16:4
