1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:1	 15:1	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.50305409003288E-02	 6:-3.08767350069147E-04	 7:-9.43861269604793	 8:24.105008724357	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:2	 14:1	 15:2	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:4	 13:1	 14:9	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.50305409003288E-02	 6:-3.25515343977683E-04	 7:11.8277810474618	 8:41.0424360200013	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:3	 13:2	 14:2	 15:4	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.09861954496785E-02	 6:-1.54895156033636E-04	 7:-.932055198644031	 8:2.9332246048017	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:3	 13:3	 14:1	 15:4	 16:3	 17:2
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-6.43630681769698E-03	 6:-2.84132325324339E-04	 7:-2.72290927430973	 8:-7.83838465152998	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:2	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:8.55670753504401	 11:3	 12:2	 13:4	 14:3	 15:3	 16:3	 17:1
1	 1:-.119189460264588	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.60416272629914E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:2	 14:1	 15:5	 16:3	 17:2
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.50305409003288E-02	 6:-3.16140108257184E-04	 7:-9.43861269604793	 8:24.105008724357	 9:-1.70808662409829E-02	 10:18.6658632775911	 11:3	 12:2	 13:2	 14:2	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.45249977189975E-02	 6:-1.247214604863E-04	 7:-9.43861269604793	 8:-8.82887777793697	 9:-1.70808662409829E-02	 10:8.55670753504401	 11:3	 12:2	 13:4	 14:1	 15:2	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.45249977189975E-02	 6:-2.18382795986176E-04	 7:-9.43861269604793	 8:9.99048611913204	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:3	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-7.95293636169084E-03	 6:-2.14901215730714E-04	 7:-1.46371504223178	 8:-7.29980452746194	 9:-1.70808662409829E-02	 10:8.55670753504401	 11:3	 12:1	 13:1	 14:4	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.25028249936724E-02	 6:-2.49648752005814E-04	 7:-9.43861269604793	 8:-6.14039697924958	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.30083681750037E-02	 6:-2.99483136054582E-04	 7:-9.43861269604793	 8:9.99048611913204	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:5	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.50305409003288E-02	 6:-3.07675089596845E-04	 7:-9.43861269604793	 8:24.105008724357	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:3	 13:2	 14:3	 15:3	 16:3	 17:1
