2	 1:24.94	 2:24.75	 3:24.56	 4:25.38	 5:121	 6:34	 7:53	 8:40	 9:.08	 10:.19	 11:.06	 12:.06	 13:390	 14:.769230769231	 15:0	 16:0
2	 1:24.94	 2:24.75	 3:24.56	 4:25.44	 5:121	 6:33	 7:53	 8:40	 9:.93	 10:.05	 11:.06	 12:.06	 13:390	 14:.646153846154	 15:0	 16:0
2	 1:25	 2:24.75	 3:24.5	 4:25.44	 5:121	 6:34	 7:53	 8:40	 9:.43	 10:.11	 11:.08	 12:.06	 13:390	 14:.519230769231	 15:0	 16:0
2	 1:25	 2:24.75	 3:24.56	 4:25.44	 5:121	 6:34	 7:53	 8:40	 9:.41	 10:.1	 11:.1	 12:.09	 13:390	 14:.388461538462	 15:0	 16:0
2	 1:25	 2:24.75	 3:24.56	 4:25.44	 5:121	 6:34	 7:54	 8:40	 9:.18	 10:.06	 11:.06	 12:.06	 13:390	 14:.253846153846	 15:0	 16:0
2	 1:25	 2:24.81	 3:24.56	 4:25.44	 5:121	 6:34	 7:54	 8:40	 9:.13	 10:.06	 11:.06	 12:.07	 13:390	 14:.165384615385	 15:0	 16:0
2	 1:25	 2:24.75	 3:24.56	 4:25.44	 5:120	 6:34	 7:54	 8:40	 9:1.39	 10:.32	 11:.43	 12:.06	 13:390	 14:.0769230769231	 15:1	 16:0
2	 1:25	 2:24.81	 3:24.56	 4:25.44	 5:121	 6:34	 7:54	 8:41	 9:.09	 10:.06	 11:.09	 12:.05	 13:390	 14:-.0115384615385	 15:0	 16:0
2	 1:25	 2:24.81	 3:24.56	 4:25.5	 5:122	 6:35	 7:56	 8:43	 9:.09	 10:.05	 11:.06	 12:.13	 13:390	 14:-.1	 15:0	 16:0
2	 1:25	 2:24.81	 3:24.56	 4:25.5	 5:101	 6:34	 7:57	 8:43	 9:3.84	 10:.64	 11:.48	 12:.39	 13:390	 14:-.188461538462	 15:1	 16:1
2	 1:25.06	 2:24.81	 3:24.56	 4:25.44	 5:122	 6:35	 7:57	 8:43	 9:2.2	 10:.31	 11:.33	 12:.21	 13:390	 14:-.276923076923	 15:1	 16:1
2	 1:25.06	 2:24.81	 3:24.56	 4:25.5	 5:123	 6:35	 7:57	 8:44	 9:.42	 10:.13	 11:.14	 12:.09	 13:390	 14:-.365384615385	 15:1	 16:0
2	 1:25.06	 2:24.88	 3:24.63	 4:25.5	 5:123	 6:35	 7:57	 8:43	 9:.21	 10:.15	 11:.07	 12:.06	 13:390	 14:-.453846153846	 15:1	 16:0
2	 1:25.06	 2:24.81	 3:24.63	 4:25.56	 5:123	 6:35	 7:57	 8:44	 9:1.66	 10:.21	 11:.12	 12:.09	 13:390	 14:-.542307692308	 15:1	 16:0
