1	 1:.2	 2:.4	 3:0	 4:.0000277778	 5:0	 6:.993592814	 7:.0000277778	 8:.666666667	 9:5
1	 1:.024390244	 2:.2	 3:0	 4:.013122685	 5:0	 6:.993592814	 7:.013122685	 8:.944444444	 9:5
1	 1:.142857143	 2:.2	 3:0	 4:.003041667	 5:0	 6:.993592814	 7:.003041667	 8:1	 9:5
1	 1:.1	 2:.2	 3:0	 4:.097476852	 5:0	 6:.993592814	 7:.097476852	 8:1	 9:5
1	 1:.051282051	 2:.222222222	 3:0	 4:.001317791	 5:0	 6:0	 7:.001241733	 8:.5	 9:7
1	 1:.038461538	 2:.111111111	 3:0	 4:.016843585	 5:0	 6:0	 7:.016843585	 8:.8	 9:7
1	 1:.4	 2:.222222222	 3:0	 4:.006780754	 5:0	 6:0	 7:.00677414	 8:.75	 9:7
2	 1:.137931034	 2:.444444444	 3:1	 4:.768043982	 5:0	 6:0	 7:.016311177	 8:1	 9:7
2	 1:.12195122	 2:.185185185	 3:1	 4:.035021495	 5:.333333333	 6:.993528095	 7:.023963294	 8:.944444444	 9:7
2	 1:.155172414	 2:.346153846	 3:.5	 4:.570993717	 5:.307692308	 6:.993592814	 7:.413788029	 8:.611111111	 9:7
2	 1:.6	 2:.5625	 3:1	 4:.457630622	 5:0	 6:0	 7:.457473545	 8:.6	 9:7
1	 1:.5	 2:.105263158	 3:0	 4:.02869213	 5:.052631579	 6:0	 7:.028654101	 8:.666666667	 9:7
1	 1:.017241379	 2:.052631579	 3:0	 4:.057655423	 5:.052631579	 6:0	 7:.057655423	 8:0	 9:7
2	 1:.041322314	 2:.208333333	 3:1	 4:.286044974	 5:.25	 6:0	 7:.286025132	 8:.818181818	 9:7
1	 1:.142857143	 2:.041666667	 3:0	 4:.387347884	 5:.25	 6:0	 7:.387347884	 8:0	 9:7
1	 1:.007246377	 2:.041666667	 3:0	 4:.547427249	 5:.25	 6:0	 7:.547427249	 8:0	 9:7
1	 1:.01	 2:.041666667	 3:0	 4:.589285714	 5:.25	 6:0	 7:.589285714	 8:0	 9:7
1	 1:.025641026	 2:.041666667	 3:0	 4:.912638889	 5:.25	 6:0	 7:.912638889	 8:0	 9:7
2	 1:.172413793	 2:.185185185	 3:1	 4:.133783069	 5:.333333333	 6:.993528095	 7:.048748347	 8:.933333333	 9:7
1	 1:.010309278	 2:.037037037	 3:0	 4:.13099537	 5:.333333333	 6:.993528095	 7:.13099537	 8:0	 9:7
1	 1:.25	 2:.111111111	 3:0	 4:.994641204	 5:0	 6:0	 7:.646851852	 8:1	 9:1
1	 1:.023255814	 2:.055555556	 3:0	 4:.917951389	 5:0	 6:0	 7:.917951389	 8:0	 9:1
1	 1:.041666667	 2:.142857143	 3:0	 4:.107607474	 5:0	 6:0	 7:.107607474	 8:.842105263	 9:7
2	 1:.111111111	 2:.714285714	 3:.5	 4:.055500992	 5:0	 6:0	 7:.053763228	 8:.818181818	 9:7
1	 1:.25	 2:.052631579	 3:0	 4:.333923611	 5:.052631579	 6:0	 7:.333923611	 8:0	 9:7
1	 1:.052631579	 2:.157894737	 3:0	 4:.460965609	 5:.052631579	 6:0	 7:.319750331	 8:.793103448	 9:7
1	 1:1	 2:.6	 3:.5	 4:.000201389	 5:0	 6:0	 7:.0000486111	 8:0	 9:5
1	 1:.142857143	 2:.041666667	 3:0	 4:.000316358	 5:.25	 6:.993592814	 7:.000316358	 8:0	 9:3
1	 1:.017391304	 2:.083333333	 3:0	 4:.662307099	 5:.25	 6:.993592814	 7:.000212191	 8:0	 9:3
1	 1:1	 2:.090909091	 3:.5	 4:.930026455	 5:.454545455	 6:0	 7:.929990079	 8:0	 9:7
1	 1:.045454545	 2:.03030303	 3:0	 4:.974153439	 5:.454545455	 6:0	 7:.974153439	 8:0	 9:7
1	 1:.070175439	 2:.166666667	 3:0	 4:.347920525	 5:.25	 6:.993592814	 7:.347881944	 8:.793103448	 9:3
1	 1:.066666667	 2:.041666667	 3:0	 4:.765763889	 5:.25	 6:.993592814	 7:.765763889	 8:0	 9:3
1	 1:.222222222	 2:.083333333	 3:0	 4:.884131944	 5:.25	 6:.993592814	 7:.765652006	 8:0	 9:3
